V1	sum
*	118282365
k101_100	326
k101_100007	128
k101_10001	108
k101_100019	130
k101_10002	103
k101_10003	86
k101_100033	290
k101_100045	97
k101_100056	271
k101_100058	142
k101_100072	43
k101_100080	70203
k101_100086	31
k101_10009	223
k101_100097	107
k101_1001	1186
k101_100112	133
k101_100144	336
k101_100164	233
k101_100168	1786
k101_100170	79
k101_100174	155
k101_10018	64
k101_10019	696
k101_100194	43
k101_100206	100
k101_100207	103
k101_100223	284
k101_10023	87
k101_100238	83
k101_100243	54
k101_100245	66
k101_10025	1118
k101_100250	375
k101_100252	60
k101_100260	163
k101_100275	37
k101_100281	25
k101_100284	73
k101_100285	62
k101_100295	44
k101_100297	44
k101_100326	124
k101_100334	719
k101_100340	90
k101_100342	96
k101_100353	25
k101_10036	98
k101_100373	169
k101_100380	5223
k101_10039	341
k101_100392	194
k101_10040	114
k101_10042	142
k101_100432	77
k101_100439	31
k101_100441	57
k101_100442	49
k101_100449	57
k101_10045	5326
k101_100457	961
k101_100473	518
k101_100479	190
k101_10048	86
k101_100492	31
k101_100493	85
k101_100498	47
k101_100500	357
k101_100511	285
k101_100518	26
k101_10052	168
k101_100524	102
k101_100527	79
k101_100539	114
k101_100540	371
k101_100549	163
k101_100563	26
k101_100568	156
k101_100569	28207
k101_100571	100
k101_10059	130
k101_1006	44
k101_100603	49
k101_100610	1791
k101_10062	204
k101_100623	248
k101_100624	132
k101_10063	1685
k101_100632	246
k101_100643	133
k101_100656	69
k101_100660	241
k101_100678	33
k101_100681	127
k101_100688	276
k101_100689	81
k101_100692	430
k101_100694	259
k101_1007	59
k101_100700	483
k101_100703	62
k101_100706	69
k101_10071	1327
k101_100711	140
k101_100714	61
k101_100715	1929
k101_10075	105
k101_100756	233
k101_100759	2437
k101_100760	8592
k101_100777	975
k101_100779	141
k101_100793	21
k101_100796	184
k101_1008	362
k101_10081	58046
k101_100814	566
k101_100818	47
k101_100822	48
k101_100835	70
k101_100841	2391
k101_100842	51
k101_100843	46
k101_100855	45
k101_100859	84
