MG-RAST ID	Metagenome Name	bp Count	Sequence Count	Biome	Feature	Material	Location	Country	Coordinates	Sequence Type	Sequence Method	ProjectID
4559276.3	ELA1A_FinalReads	"169,354,023"	"778,033"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559277.3	ELA1B_FinalReads	"101,247,970"	"484,525"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559278.3	ELA1C_FinalReads	"190,739,823"	"869,569"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559279.3	ELA2C_FinalReads	"105,021,583"	"498,831"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559283.3	ELA3A_FinalReads	"138,356,400"	"646,903"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559284.3	ELA3B_FinalReads	"143,612,676"	"668,496"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559285.3	ELA3C_FinalReads	"180,685,228"	"841,975"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559286.3	ELA4A_FinalReads	"209,571,364"	"940,188"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559287.3	ELA4B_FinalReads	"250,620,273"	"1,152,615"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559288.3	ELA4C_FinalReads	"178,712,673"	"823,709"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559289.3	ELA7A_FinalReads	"131,956,577"	"638,728"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559290.3	ELA7B_FinalReads	"111,533,088"	"526,780"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559291.3	ELA7C_FinalReads	"119,971,474"	"560,889"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559292.3	ELA8A_FinalReads	"130,332,596"	"614,979"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559293.3	ELA8B_FinalReads	"114,350,542"	"532,194"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559294.3	ELA8C_FinalReads	"161,140,239"	"750,625"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559295.3	ELA9A_FinalReads	"156,247,989"	"766,912"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559296.3	ELA9B_FinalReads	"133,746,817"	"598,253"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559297.3	ELA9C_FinalReads	"164,850,199"	"788,190"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559280.3	ELA33A_FinalReads	"173,077,862"	"804,021"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559281.3	ELA33B_FinalReads	"173,985,553"	"772,493"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559282.3	ELA33C_FinalReads	"155,482,716"	"714,861"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559273.3	ELA100A_FinalReads	"165,565,545"	"786,942"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559274.3	ELA100B_FinalReads	"222,850,029"	"1,030,895"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4559275.3	ELA100C_FinalReads	"188,404,899"	"878,425"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4563473.3	ELA2B_FinalReads	"103,090,598"	"481,023"	terrestrial biome	human-associated habitat	feces	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570243.3	ELA1ASaliva_Reads	"90,343,995"	"419,184"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570244.3	ELA1BSaliva_Reads	"118,857,505"	"551,727"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570245.3	ELA1CSaliva_Reads	"114,358,852"	"535,817"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570246.3	ELA2BSaliva_Reads	"111,427,969"	"525,960"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570247.3	ELA2CSaliva_Reads	"98,337,924"	"476,491"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570251.3	ELA3ASaliva_Reads	"107,761,203"	"537,422"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570252.3	ELA3BSaliva_Reads	"98,888,491"	"483,638"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570253.3	ELA3CSaliva_Reads	"82,944,883"	"407,835"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570254.3	ELA4ASaliva_Reads	"125,488,472"	"589,550"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570255.3	ELA4BSaliva_Reads	"148,542,298"	"706,672"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570256.3	ELA4CSaliva_Reads	"130,626,118"	"603,175"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570257.3	ELA7ASaliva_Reads	"147,763,940"	"670,284"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570258.3	ELA7BSaliva_Reads	"125,059,854"	"572,484"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570259.3	ELA7CSaliva_Reads	"119,024,819"	"553,548"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
4570260.3	ELA8ASaliva_Reads	"123,363,382"	"568,636"	terrestrial biome	human-associated habitat	saliva	California	USA	"32.8774915, -117.2352765"	WGS	ion torrent	8654
